"","Name","Publisher","Developer","Puntajes Cr?ticos","n? criticas criticos","Puntajes usuarios","n? cr?ticas usuarios"
"71","Tekken 3","Sony Computer Entertainment","Namco","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"72","The Legend of Zelda: Twilight Princess","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"73","Crash Bandicoot 3: Warped","Sony Computer Entertainment","Naughty Dog","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"74","Mario Kart 8","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"75","Super Smash Bros. Melee","Nintendo","HAL Labs","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"76","Need for Speed Underground 2","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"77","Medal of Honor: Frontline","Electronic Arts","EA LA","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"78","Just Dance 4","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"79","Gears of War 2","Microsoft Game Studios","Epic Games","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"80","Uncharted 3: Drake's Deception","Sony Computer Entertainment","Naughty Dog","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"81","Call of Duty 4: Modern Warfare","Activision","Infinity Ward","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"82","Uncharted 2: Among Thieves","Sony Computer Entertainment","Naughty Dog","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios muy alto","n? cr?ticas usuarios intermedio"
