"","Name","Publisher","Developer","Puntajes Cr?ticos","n? criticas criticos","Puntajes usuarios","n? cr?ticas usuarios"
"4239","Big Mutha Truckers 2","Xplosiv","Eutechnyx","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"4240","Armored Core 4","505 Games","From Software","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4241","Solatorobo: Red the Hunter","Nintendo","CyberConnect2","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4242","NHL FaceOff 2001","Sony Computer Entertainment","989 Sports","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"4243","Mana Khemia 2: Fall of Alchemy","Gust","Gust","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4244","The Great Escape","SCi","Pivotal Games","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4245","Castlevania: Lords of Shadow 2","Konami Digital Entertainment","Mercury Steam","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4246","Big Mutha Truckers","Empire Interactive","Eutechnyx","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4247","Way of the Samurai 4","Nippon Ichi Software","Acquire","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4248","The Hobbit","Vivendi Games","Saffire","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4249","The King of Fighters XI","Ignition Entertainment","SNK Playmore","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4250","Tom Clancy's Splinter Cell: Essentials","Ubisoft","Ubisoft","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4251","Major League Baseball 2K12","Take-Two Interactive","Visual Concepts","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4252","Family Guy","Take-Two Interactive","High Voltage Software","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4253","Dead Space 3","Electronic Arts","Visceral Games","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4254","Sniper Elite","Ubisoft","Rebellion","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4255","Harry Potter and the Goblet of Fire","Electronic Arts","Electronic Arts","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4256","Breath of Fire II","Ubisoft","Capcom","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4257","Test Drive Unlimited 2","Atari","Eden","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4258","UFC Personal Trainer: The Ultimate Fitness System","THQ","THQ","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"4259","Conan","THQ","Nihilistic","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4260","No More Heroes: Heroes' Paradise","Konami Digital Entertainment","FeelPlus","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4261","Aliens vs Predator","Sega","Rebellion","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4262","Captain America: Super Soldier","Sega","Next Level Games","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4263","Manhunt","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4264","NCAA Final Four 2003","Sony Computer Entertainment","989 Sports","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4265","Dynasty Warriors: Gundam 2","Namco Bandai Games","Omega Force","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4266","Bound By Flame","Focus Home Interactive","Spiders","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4267","Spectrobes: Origins","Disney Interactive Studios","Genki","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4268","DanceMasters","Konami Digital Entertainment","GCP1","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4269","Breath of Fire: Dragon Quarter","Capcom","Capcom","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4270","Shiren the Wanderer","Sega","ChunSoft","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4271","LEGO Marvel's Avengers","Warner Bros. Interactive Entertainment","TT Games","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4272","Spore Hero Arena","Electronic Arts","Full Fat","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"4273","Disney's Magical Mirror Starring Mickey Mouse","Nintendo","Capcom","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4274","Enchanted Arms","Ubisoft","From Software","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4275","Conflict: Denied Ops","Eidos Interactive","Pivotal Games","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4276","Mafia III","Take-Two Interactive","Hangar 13","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"4277","Mace Griffin: Bounty Hunter","Electronic Arts","Warthog","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4278","Legacy of Kain: Defiance","Eidos Interactive","Crystal Dynamics","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4279","Final Fantasy XI","Square Enix","Square Enix","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4280","Peter Jackson's King Kong: The Official Game of the Movie","Ubisoft","Phoenix Games Studio","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4281","Fighter Within","Ubisoft","Ubisoft","Puntajes Cr?ticos bajo","n? criticas criticos bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"4282","Aliens versus Predator: Extinction","Electronic Arts","Zono Inc.","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4283","Shrek: Forever After","Activision","Xpec","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4284","X-Men Origins: Wolverine","Activision","Griptonite Games","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4285","NHL Hitz Pro","Midway Games","Next Level Games","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4286","Space Invaders Extreme 2","Square Enix","Taito Corporation","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4287","Need for Speed: The Run","Electronic Arts","Firebrand Games","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4288","Supreme Commander 2","Square Enix","Gas Powered Games","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4289","Quantum Theory","Tecmo Koei","Tecmo","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4290","Dawn of Discovery","Ubisoft","Keen Games","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4291","Guitar Hero Live","Activision","Activision, FreeStyleGames","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4292","Frequency","Sony Computer Entertainment","Harmonix Music Systems","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4293","Dynasty Warriors 8: Empires","Tecmo Koei","Omega Force","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4294","2002 FIFA World Cup","Electronic Arts","Software Creations","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4295","SpongeBob SquigglePants 3D","THQ","WayForward","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4296","Sudeki","Microsoft Game Studios","Climax Group","Puntajes Cr?ticos alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4297","Majin and the Forsaken Kingdom","Namco Bandai Games","Game Republic","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4298","Silent Hill HD Collection","Konami Digital Entertainment","Konami","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4299","Arc Rise Fantasia","Marvelous Interactive","Image Epoch, Imageepoch","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4300","South Park: The Stick of Truth","Ubisoft","Obsidian Entertainment","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4301","Teenage Mutant Ninja Turtles 2: Battle Nexus","Konami Digital Entertainment","Konami","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4302","MLB 12: The Show","Sony Computer Entertainment","SCEA San Diego Studios","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4303","NBA 2K11","Take-Two Interactive","Visual Concepts","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4304","WWE All Stars","THQ","THQ","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4305","Naruto: Ninja Destiny","Namco Bandai Games","Takara Tomy","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4306","FaceBreaker","Electronic Arts","EA Canada","Puntajes Cr?ticos intermedio","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4307","Spider-Man: Shattered Dimensions","Activision","Griptonite Games","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4308","Lunar Legend","Media Rings","Magic Rings","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4309","Conflict: Global Terror","Eidos Interactive","Pivotal Games","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4310","Dante's Inferno","Electronic Arts","Artificial Mind and Movement, EA Redwood Shores","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4311","Injustice: Gods Among Us","Warner Bros. Interactive Entertainment","NetherRealm Studios","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4312","Tomb Raider: Underworld","Eidos Interactive","Santa Cruz Games","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4313","Death Jr.","Konami Digital Entertainment","Backbone Entertainment","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4314","Hulk","Universal Interactive","Radical Entertainment","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4315","Phantasy Star Universe","Sega","Sonic Team","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4316","Gungrave","Activision","Seta Corporation","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4317","Transworld Surf","Atari","Rockstar San Diego","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4318","Tenchu: Fatal Shadows","Sega","K2 LLC","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4319","50 Cent: Blood on the Sand","THQ","Swordfish Studios","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4320","Metro: Last Light","Deep Silver","4A Games","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"4321","Evolve","Take-Two Interactive","Turtle Rock Studios","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4322","Resident Evil: Revelations","Capcom","Capcom","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4323","The Legend of Spyro: A New Beginning","Vivendi Games","Krome Studios","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4324","Armored Core: For Answer","Ubisoft","From Software","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4325","Harry Potter and the Prisoner of Azkaban","Electronic Arts","EA Games","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4326","Street Fighter X Tekken","Capcom","Capcom","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4327","The Legend of Heroes: Trails of Cold Steel II","Nippon Ichi Software","Falcom","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4328","Rise of the Kasai","Sony Computer Entertainment","BottleRocket Entertainment","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4329","Risen","Deep Silver","Piranha Bytes","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4330","Nostalgia","Tecmo Koei","Matrix Software","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4331","Dynasty Warriors Gundam","Namco Bandai Games","Koei, Omega Force","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4332","Chibi-Robo! Park Patrol","Unknown","Skip Ltd.","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4333","Tom Clancy's Splinter Cell: Blacklist","Ubisoft","Ubisoft Toronto","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4334","One Piece: Unlimited Adventure","Namco Bandai Games","Ganbarion","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4335","Shaun White Skateboarding","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4336","Conflict: Denied Ops","Eidos Interactive","Pivotal Games","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"4337","Binary Domain","Sega","Sega","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4338","Ice Age: Dawn of the Dinosaurs","Activision","Activision","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4339","Robin Hood: Defender of the Crown","Capcom","Cinemaware","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4340","R-Type Final","Metro 3D","Irem","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4341","Bolt","Disney Interactive Studios","Avalanche Software","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4342","Sega GT 2002","Sega","Wow Entertainment","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4343","F1 2011","Codemasters","Codemasters","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4344","Ty the Tasmanian Tiger 3: Night of the Quinkan","Activision","Krome Studios","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4345","Samurai Warriors 2: Empires","Tecmo Koei","Omega Force","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4346","Blood Omen 2","Eidos Interactive","Crystal Dynamics","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4347","Earth Defense Force: Insect Armageddon","D3Publisher","Vicious Cycle","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4348","Major League Baseball 2K10","Take-Two Interactive","Visual Concepts","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4349","Saints Row IV","Deep Silver","Volition Inc.","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4350","Harry Potter: Quidditch World Cup","Electronic Arts","Electronic Arts","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4351","Dance Central: Spotlight","Microsoft Game Studios","Harmonix Music Systems","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4352","Warriors: Legends of Troy","Tecmo Koei","Tecmo Koei Canada","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4353","La Pucelle: Tactics","Tecmo Koei","Nippon Ichi Software","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4354","Arcania: Gothic 4","JoWood Productions","Spellbound","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4355","NBA Ballers: Chosen One","Midway Games","Midway","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4356","Tiger Woods PGA Tour 07","Electronic Arts","EA Redwood Shores","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4357","Disney's Meet the Robinsons","Disney Interactive Studios","Buena Vista Games","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4358","Sword Art Online: Hollow Realization","Namco Bandai Games","Bandai Namco Games","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4359","The Lord of the Rings: War in the North","Warner Bros. Interactive Entertainment","Snowblind Studios","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4360","SBK X: Superbike World Championship","Black Bean Games","Milestone S.r.l","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4361","Rango: The Video Game","Electronic Arts","Behaviour Interactive","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4362","EverQuest Online Adventures: Frontiers","Sony Online Entertainment","Sony Online Entertainment","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4363","Fairy Fencer F","Nippon Ichi Software","Compile Heart","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4364","Shadows of the Damned","Electronic Arts","Grasshopper Manufacture","Puntajes Cr?ticos alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4365","Phantasy Star Online Ver. 2","Sega","Sonic Team","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4366","Fight Club","Vivendi Games","Genuine Games","Puntajes Cr?ticos bajo","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4367","Samurai Warriors: State of War","Tecmo Koei","Omega Force","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4368","Dragon Blade: Wrath of Fire","D3Publisher","D3Publisher","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4369","The Munchables","Namco Bandai Games","Now Production","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4370","Close Combat: First to Fight","Take-Two Interactive","Destineer","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4371","Indiana Jones and the Emperor's Tomb","LucasArts","Double Helix Games","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4372","Buffy the Vampire Slayer: Chaos Bleeds","Vivendi Games","Eurocom Entertainment Software","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4373","Ty the Tasmanian Tiger","Electronic Arts","Krome Studios","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4374","Heavy Fire: Afghanistan","Unknown","Teyon","Puntajes Cr?ticos bajo","n? criticas criticos muy bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"4375","Siren","Sony Computer Entertainment","SCE Japan Studio","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4376","NARC","Midway Games","Point of View","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"4377","Driver: San Francisco","Ubisoft","Ubisoft Reflections","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4378","Shape Up","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4379","Star Trek: Legacy","Ubisoft","Mad Doc Software","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4380","Amplitude","Sony Computer Entertainment","Harmonix Music Systems","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4381","Disgaea DS","Square Enix","Nippon Ichi Software","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4382","Gauntlet: Seven Sorrows","Midway Games","Midway","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4383","AirForce Delta Storm","Konami Digital Entertainment","KCE Studios","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4384","Fear Effect 2: Retro Helix","Eidos Interactive","Kronos Digital Entertainment","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"4385","Atelier Shallie: Alchemists of the Dusk Sea","Tecmo Koei","Gust","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4386","Call of Duty: World at War","Activision","Treyarch","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4387","CSI: Fatal Conspiracy","Ubisoft","Telltale Games","Puntajes Cr?ticos bajo","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"4388","Vietcong: Purple Haze","Gathering of Developers","Coyote Developments","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
