"","Name","Publisher","Developer","Puntajes Cr?ticos","Puntajes usuarios"
"2720","Naruto: Ultimate Ninja 3","Atari","CyberConnect2","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2721","The Darkness","Take-Two Interactive","Starbreeze","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2722","Thrillville: Off the Rails","LucasArts","Frontier Developments","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"2723","Child of Eden","Ubisoft","Q Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2724","Spider-Man: Shattered Dimensions","Activision","Beenox","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2725","NFL Blitz 20-03","Midway Games","Point of View","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2726","Eternal Sonata","Atari","Tri-Crescendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2727","Star Wars: Jedi Starfighter","Activision","Secret Level","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2728","Classic NES Series: Metroid","Nintendo","Nintendo","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"2729","Nicktoons: Attack of the Toybots","THQ","Blue Tongue Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2730","Primal","Sony Computer Entertainment","SCEE","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2731","Ninja Gaiden 3","Tecmo Koei","Team Ninja","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2732","Band Hero","Activision","Vicarious Visions","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2733","Need for Speed Underground 2","Electronic Arts","Pocketeers","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2734","SSX Tricky","Electronic Arts","EA Sports Big","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2735","Tetris Axis","Tetris Online","Hudson Soft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2736","Borderlands: The Handsome Collection","Take-Two Interactive","Gearbox Software","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2737","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe","Disney Interactive Studios","Traveller's Tales","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2738","Star Wars The Clone Wars: Republic Heroes","LucasArts","LucasArts, Krome Studios","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2739","NCAA Football 2004","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2740","Bionicle","Electronic Arts","Argonaut Games","Puntajes Cr?ticos intermedio","Puntajes usuarios bajo"
"2741","Naruto Shippuden: Ultimate Ninja Storm Revolution","Namco Bandai Games","CyberConnect2","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2742","Naughty Bear","505 Games","Artificial Mind and Movement","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2743","MLB 2002","Sony Computer Entertainment","989 Sports","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2744","Deadpool","Activision","High Moon Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2745","Lego Batman 3: Beyond Gotham","Warner Bros. Interactive Entertainment","TT Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2746","MLB 14: The Show","Sony Computer Entertainment America","SCEA San Diego Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2747","Devil May Cry HD Collection","Capcom","Capcom, Pipeworks Software, Inc.","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2748","Hyperdimension Neptunia","Tecmo Koei","Idea Factory, Compile Heart","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2749","TimeSplitters","Eidos Interactive","Free Radical Design","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2750","InuYasha: The Secret of the Cursed Mask","Namco Bandai Games","Kamui","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"2751","Mega Man Zero 2","Capcom","Inti","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2752","Payday 2","505 Games","Overkill Software","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2753","Ghostbusters: The Video Game","Atari","War Drum Studios","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2754","Hunter: The Reckoning  Wayward","Interplay","High Voltage Software","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2755","EyeToy: AntiGrav","Sony Computer Entertainment","Harmonix Music Systems","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2756","EverQuest Online Adventures","Sony Online Entertainment","Sony Online Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2757","OkamiDen","Capcom","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2758","Hometown Story","Rising Star Games","TOYBOX","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2759","Just Dance 4","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2760","Mobile Suit Gundam: Zeonic Front","Namco Bandai Games","Sunrise Interactive","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2761","Dawn of Mana","Square Enix","Square Enix","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2762","Castlevania: Dawn of Sorrow","Konami Digital Entertainment","Konami","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2763","Max Payne 3","Take-Two Interactive","Rockstar Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2764","Tales of the World: Radiant Mythology","Ubisoft","Alfa System","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2765","Alpha Protocol","Sega","Obsidian Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2766","Rayman Legends","Ubisoft","Ubisoft Montpellier","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2767","Madden NFL 2003","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2768","Disney Sing It","Disney Interactive Studios","Zoe Mode","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2769","Microsoft Flight Simulator X","Microsoft Game Studios","Microsoft Game Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2770","SEGA Classics Collection","Sega","Sega","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2771","Crash: Mind Over Mutant","Vivendi Games","Radical Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2772","Naruto: Ninja Council 3","D3Publisher","Aspect","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2773","NBA Street","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2774","Def Jam Icon","Electronic Arts","EA Chicago","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2775","2014 FIFA World Cup Brazil","Electronic Arts","EA Canada","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2776","The Legend of Spyro: The Eternal Night","Vivendi Games","Krome Studios","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2777","Atelier Totori: The Adventurer of Arland","Nippon Ichi Software","Gust","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2778","Mega Man Battle Network","Capcom","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2779","Juiced: Eliminator","THQ","Juice Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2780","25 to Life","Eidos Interactive","Ritual Entertainment, Avalanche Software","Puntajes Cr?ticos bajo","Puntajes usuarios intermedio"
"2781","NHL 2K6","Take-Two Interactive","2K Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"2782","Medal of Honor: Rising Sun","Electronic Arts","EA LA","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2783","The Sims","Electronic Arts","Edge of Reality","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2784","Dog's Life","Sony Computer Entertainment","Frontier Developments","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"2785","Tony Hawk's American Wasteland","Activision","Neversoft Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2786","Colony Wars","Psygnosis","Psygnosis","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2787","All-Star Baseball 2004","Acclaim Entertainment","Acclaim Studios Austin","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2788","NASCAR Thunder 2002","Electronic Arts","Black Box","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2789","Batman: Arkham Origins Blackgate","Warner Bros. Interactive Entertainment","Armature Studio","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2790","Zone of the Enders HD Collection","Konami Digital Entertainment","High Voltage Software","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2791","2010 FIFA World Cup South Africa","Electronic Arts","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2792","ESPN NHL 2K5","Global Star","Kush Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2793","Hot Wheels World Race","THQ","Climax Group","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2794","Superman: Shadow of Apokolips","Atari","Atari","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2795","Trials Fusion","Ubisoft","RedLynx","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2796","American Chopper","Zoo Digital Publishing","Creat Studios","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2797","NASCAR Kart Racing","Electronic Arts","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2798","Guitar Hero: Smash Hits","Activision","Beenox","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2799","Lemony Snicket's A Series of Unfortunate Events","Activision","Griptonite Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2800","Test Drive","Atari","Pitbull Syndicate","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2801","Pirates of the Caribbean: At World's End","Disney Interactive Studios","Eurocom Entertainment Software","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2802","James Bond 007: Everything or Nothing","Electronic Arts","EA Redwood Shores","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2803","NBA Live 06","Electronic Arts","EA Canada","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2804","MLB 08: The Show","Sony Computer Entertainment","SCEA San Diego Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2805","Dance Dance Revolution Ultramix 2","Konami Digital Entertainment","Konami Computer Entertainment Hawaii","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2806","Mega Man Anniversary Collection","Capcom","Atomic Planet Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2807","Crash: Mind Over Mutant","Vivendi Games","TOSE","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2808","How to Train Your Dragon","Activision","Etranges Libellules","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2809","Story of Seasons","Nintendo","Marvelous AQL","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2810","Harry Potter and the Goblet of Fire","Electronic Arts","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2811","Thrillville: Off the Rails","LucasArts","Frontier Developments","Puntajes Cr?ticos alto","Puntajes usuarios muy bajo"
"2812","Mega Man X6","Capcom","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2813","BloodRayne","Universal Interactive","Terminal Reality","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2814","Castlevania: Curse of Darkness","Konami Digital Entertainment","Konami","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2815","LEGO Rock Band","Warner Bros. Interactive Entertainment","TT Fusion","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2816","Black","Electronic Arts","Criterion Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2817","Spec Ops: The Line","Take-Two Interactive","Yager","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2818","NHL Slapshot","Unknown","EA Sports","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2819","Paper Mario: Color Splash","Nintendo","Nintendo, Intelligent Systems","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2820","Valkyrie Profile: Covenant of the Plume","Square Enix","Tri-Ace","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2821","Vanquish","Sega","PlatinumGames","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2822","TRON: Evolution","Disney Interactive Studios","Propaganda Games","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2823","Pirates of the Caribbean: At World's End","Disney Interactive Studios","Eurocom Entertainment Software","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2824","Mega Man Legends 2","Capcom","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2825","Blazing Angels: Squadrons of WWII","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2826","TERA","Unknown","Bluehole Studio","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2827","Attack on Titan: Humanity in Chains","Screenlife","Spike Chunsoft","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2828","The Suffering","Midway Games","Surreal Software","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2829","Animal Crossing: Amiibo Festival","Nintendo","Nintendo, Nd Cube","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2830","Zone of the Enders: The 2nd Runner","Konami Digital Entertainment","KCEJ","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2831","Just Dance 2014","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2832","NFL GameDay 2004","Sony Computer Entertainment","989 Sports","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2833","Condemned: Criminal Origins","Sega","Monolith Productions","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2834","Crash of the Titans","Vivendi Games","Radical Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2835","EA Sports UFC 2","Electronic Arts","EA Sports","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2836","Tom Clancy's Rainbow Six: Lockdown","Ubisoft","Red Storm Entertainment, Ubisoft Montreal","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2837","TimeShift","Vivendi Games","Saber Interactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2838","Farming Simulator 17","Focus Home Interactive","Maximum Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2839","Castlevania: The Dracula X Chronicles","Konami Digital Entertainment","Konami","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2840","Tom Clancy's HAWX 2","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2841","X-Men: The Official Game","Activision","Z-Axis, Ltd.","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2842","Terraria","505 Games","Engine Software","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2843","LEGO Dimensions","Warner Bros. Interactive Entertainment","Traveller's Tales","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2844","Football Manager Handheld 2011","Sega","Sports Interactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2845","300: March to Glory","Warner Bros. Interactive Entertainment","Collision Studios","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2846","Marvel Super Hero Squad","THQ","THQ","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"2847","NHL 15","Electronic Arts","EA Sports","Puntajes Cr?ticos intermedio","Puntajes usuarios bajo"
"2848","Tom Clancy's The Division","Ubisoft","Massive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2849","Green Day: Rock Band","MTV Games","Harmonix Music Systems, Demiurge Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2850","F1 2014","Codemasters","Codemasters Birmingham","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2851","Cars: Mater-National Championship","THQ","Rainbow Studios","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2852","Call of Duty: Black Ops II","Activision","Treyarch","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2853","BioShock","Take-Two Interactive","Irrational Games, 2K Marin","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2854","The Terminator: Dawn of Fate","Atari","Paradigm Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2855","Medal of Honor Heroes 2","Electronic Arts","EA Canada","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2856","Top Spin 4","Take-Two Interactive","2K Czech","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2857","Armored Core 2: Another Age","Metro 3D","From Software","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2858","Mortal Kombat: Deadly Alliance","Midway Games","Midway","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2859","NiGHTS: Journey of Dreams","Sega","Sega, Sonic Team","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2860","Call of Duty: Advanced Warfare","Activision","Sledgehammer Games","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2861","Ed, Edd n Eddy: The Mis-Edventures","Midway Games","Artificial Mind and Movement","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2862","Disney's Tarzan Untamed","Ubisoft","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2863","WWE All Stars","THQ","THQ","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2864","Green Day: Rock Band","MTV Games","Harmonix Music Systems, Demiurge Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2865","Harry Potter and the Deathly Hallows - Part 1","Electronic Arts","Full Fat","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2866","Resistance: Burning Skies","Sony Computer Entertainment","Nihilistic","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2867","Battlefield 2: Modern Combat","Electronic Arts","Digital Illusions","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2868","Knockout Kings 2001","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2869","From Russia With Love","Electronic Arts","EA Redwood Shores","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2870","Fantastic Pets","THQ","Blitz Games Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2871","BlazBlue: Continuum Shift","PQube","Arc System Works","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2872","Duke Nukem Forever","Take-Two Interactive","Gearbox Software, 3D Realms","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2873","Minority Report: Everybody Runs","Activision","Treyarch","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2874","Katamari Forever","Namco Bandai Games","Bandai Namco Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2875","NFL GameDay 2002","Sony Computer Entertainment","989 Sports","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2876","Spider-Man: Web of Shadows","Activision","Shaba Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2877","Naughty Bear","505 Games","Artificial Mind and Movement","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2878","Tak and the Power of Juju","THQ","Avalanche Software","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2879","Six Flags Fun Park","Ubisoft","7 Studios","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2880","Beowulf: The Game","Ubisoft","Ubisoft Shanghai","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2881","NBA Jam","Electronic Arts","EA Canada","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2882","Rune Factory 3: A Fantasy Harvest Moon","Rising Star Games","Neverland","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2883","Tales of Zestiria","Namco Bandai Games","Bandai Namco Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2884","Metal Gear Solid: The Legacy Collection","Konami Digital Entertainment","Konami","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2885","Defender","Midway Games","7 Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2886","Gauntlet: Seven Sorrows","Midway Games","Midway","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2887","Harry Potter: Quidditch World Cup","Electronic Arts","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2888","Overlord","Codemasters","Triumph Studios","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2889","The Chronicles of Narnia: Prince Caspian","Disney Interactive Studios","Traveller's Tales","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2890","Life is Strange","Square Enix","DONTNOD Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2891","Battalion Wars","Nintendo","Kuju Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2892","The Wonderful 101","Nintendo","PlatinumGames","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2893","Asura's Wrath","Capcom","CyberConnect2","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2894","18 Wheeler: American Pro Trucker","Acclaim Entertainment","Acclaim Studios Cheltenham","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2895","Wall-E","THQ","Heavy Iron Studios","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2896","Atari Anthology","Atari","Digital Eclipse","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2897","FIFA 14","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"2898","MLB 2006","Sony Computer Entertainment","989 Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2899","Ragnarok Odyssey","GungHo","Game Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2900","The Gunstringer","Microsoft Game Studios","Twisted Pixel Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2901","Marvel: Ultimate Alliance","Activision","Vicarious Visions","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2902","LEGO Harry Potter: Years 5-7","Warner Bros. Interactive Entertainment","Traveller's Tales","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2903","MX vs. ATV Unleashed","THQ","Rainbow Studios","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2904","FIFA Soccer 13","Electronic Arts","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2905","Rampage: Total Destruction","Midway Games","Pipeworks Software, Inc.","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2906","The Urbz: Sims in the City","Electronic Arts","Maxis","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2907","WWE SmackDown! vs. RAW 2006","THQ","Yuke's","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2908","Mafia II","Take-Two Interactive","2K Czech","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2909","NBA Live 2002","Electronic Arts","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2910","Sega Superstars Tennis","Sega","Sumo Digital","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2911","Spore Hero","Electronic Arts","Maxis","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2912","I-Ninja","Sony Computer Entertainment","Argonaut Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2913","Ghostbusters: The Video Game","Atari","Zen Studios","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2914","Harvest Moon: Save the Homeland","Unknown","Victor Interactive Software","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2915","Call of Duty: Finest Hour","Activision","Exakt","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2916","Naruto: Path of the Ninja","D3Publisher","TOSE","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2917","Castlevania: Portrait of Ruin","Konami Digital Entertainment","Konami","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2918","Suzuki TT Superbikes","Jester Interactive","Jester Interactive","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2919","Rumble Roses","Konami Digital Entertainment","Yuke's","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2920","Tomb Raider: Anniversary","Eidos Interactive","Crystal Dynamics","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2921","Sherlock Holmes: The Mystery of the Mummy","Focus Home Interactive","Frogwares, Mistic Software","Puntajes Cr?ticos intermedio","Puntajes usuarios bajo"
"2922","Fantastic Four: Rise of the Silver Surfer","Take-Two Interactive","7 Studios","Puntajes Cr?ticos bajo","Puntajes usuarios alto"
"2923","Ultimate Spider-Man","Activision","Treyarch","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2924","Juiced 2: Hot Import Nights","THQ","Juice Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2925","LEGO The Lord of the Rings","Warner Bros. Interactive Entertainment","TT Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2926","No More Heroes 2: Desperate Struggle","Rising Star Games","Grasshopper Manufacture","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2927","Legends of WrestleMania","THQ","Yuke's","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2928","Fishing Resort","Namco Bandai Games","Prope","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2929","Armored Core V","Namco Bandai Games","From Software","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2930","Mass Effect 2","Electronic Arts","BioWare","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2931","Harry Potter and the Deathly Hallows - Part 1","Electronic Arts","EA Bright Light","Puntajes Cr?ticos bajo","Puntajes usuarios bajo"
"2932","The House of The Dead III","Sega","Wow Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2933","Project X Zone","Namco Bandai Games","Monolith Soft, Banpresto","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2934","NBA Jam","Electronic Arts","EA Canada","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2935","NBA Jam","Electronic Arts","EA Canada","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2936","Madden NFL Football","Electronic Arts","EA Tiburon","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2937","Donkey Konga 2","Nintendo","Namco","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2938","Transformers: Fall of Cybertron","Activision","High Moon Studios","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2939","Alpha Protocol","Sega","Obsidian Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2940","SSX 3","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2941","Combat of Giants: Dinosaurs 3D","Ubisoft","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"2942","Madden NFL 2005","Electronic Arts","Exient Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2943","Final Fantasy Crystal Chronicles: The Crystal Bearers","Square Enix","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2944","Until Dawn: Rush of Blood","Sony Computer Entertainment","SuperMassive Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2945","Sonic Lost World","Sega","Sonic Team","Puntajes Cr?ticos alto","Puntajes usuarios alto"
