"","Platform","Genre","Publisher","Global_Sales","Critic_Score","Rating","Is_Fiasco"
"200","PS2","Fighting","THQ",2.58,80,"T",FALSE
"201","PS2","Sports","Electronic Arts",2.57,78,"E",FALSE
"202","PS3","Sports","Electronic Arts",2.56,83,"E",TRUE
"203","X360","Role-Playing","Electronic Arts",2.56,86,"M",FALSE
"204","X360","Sports","Electronic Arts",2.53,83,"E",FALSE
"205","X360","Sports","Take-Two Interactive",2.52,87,"E",TRUE
"206","X360","Role-Playing","Activision",2.5,82,"T",FALSE
"207","X360","Misc","Electronic Arts",2.47,92,"T",FALSE
"208","PS3","Sports","Take-Two Interactive",2.47,90,"E",FALSE
"209","PS3","Action","THQ",2.47,82,"M",FALSE
"210","PS3","Shooter","Sony Computer Entertainment",2.46,87,"M",TRUE
"211","PS3","Racing","Take-Two Interactive",2.45,82,"T",FALSE
"212","PS2","Simulation","Electronic Arts",2.43,81,"T",FALSE
"213","X360","Shooter","Ubisoft",2.42,82,"M",FALSE
"214","PS3","Sports","Konami Digital Entertainment",2.41,77,"E",FALSE
"215","PS2","Racing","Sony Computer Entertainment",2.41,82,"E",FALSE
"216","PS2","Racing","Electronic Arts",2.41,62,"E10+",FALSE
"217","X360","Shooter","Microsoft Game Studios",2.4,82,"M",FALSE
"218","PS3","Sports","Electronic Arts",2.38,83,"E",TRUE
"219","PS2","Action","THQ",2.37,62,"T",FALSE
"220","X360","Sports","Electronic Arts",2.37,85,"E",TRUE
"221","PS2","Sports","Activision",2.37,83,"T",FALSE
"222","PS3","Sports","Electronic Arts",2.37,85,"E",FALSE
"223","X360","Racing","Take-Two Interactive",2.35,81,"T",FALSE
"224","X360","Misc","Microsoft Game Studios",2.35,73,"E10+",TRUE
"225","PS2","Fighting","THQ",2.34,71,"T",FALSE
"226","X360","Sports","Microsoft Game Studios",2.34,66,"E",FALSE
"227","PS2","Shooter","Electronic Arts",2.31,84,"T",FALSE
"228","XB","Racing","Electronic Arts",2.28,77,"E",FALSE
"229","PS3","Sports","Konami Digital Entertainment",2.28,78,"E",FALSE
"230","PS2","Sports","Electronic Arts",2.28,82,"E",FALSE
"231","X360","Simulation","Electronic Arts",2.28,76,"T",FALSE
"232","PS3","Misc","Sega",2.26,80,"E10+",FALSE
"233","PS3","Sports","Electronic Arts",2.25,79,"E",TRUE
"234","PS3","Action","Sony Computer Entertainment",2.25,80,"M",FALSE
"235","PS3","Misc","Activision",2.24,83,"T",FALSE
"236","X360","Sports","Electronic Arts",2.23,80,"E",TRUE
"237","PS3","Shooter","Take-Two Interactive",2.23,91,"M",FALSE
"238","PS2","Action","Ubisoft",2.22,92,"T",FALSE
"239","X360","Misc","Activision",2.2,92,"T",FALSE
"240","X360","Misc","Electronic Arts",2.2,92,"T",FALSE
"241","X360","Racing","Electronic Arts",2.2,88,"E10+",FALSE
"242","X360","Shooter","Take-Two Interactive",2.2,88,"M",FALSE
"243","XB","Role-Playing","Activision",2.19,94,"T",FALSE
"244","PS3","Action","Konami Digital Entertainment",2.19,80,"E",FALSE
"245","X360","Action","THQ",2.18,81,"M",FALSE
"246","PS2","Racing","THQ",2.18,82,"E",FALSE
"247","PC","Simulation","Electronic Arts",2.16,74,"T",FALSE
"248","PS2","Simulation","Konami Digital Entertainment",2.13,77,"E",FALSE
"249","XB","Racing","Microsoft Game Studios",2.12,85,"E",FALSE
"250","PS3","Sports","Take-Two Interactive",2.11,90,"E",TRUE
"251","PS2","Racing","Electronic Arts",2.11,89,"E",FALSE
"252","PS3","Sports","Take-Two Interactive",2.11,84,"E",TRUE
"253","PS3","Shooter","Take-Two Interactive",2.09,83,"M",FALSE
"254","X360","Action","Take-Two Interactive",2.09,89,"E",FALSE
"255","PC","Role-Playing","Activision",2.08,90,"T",TRUE
"256","PS2","Puzzle","THQ",2.08,44,"E",FALSE
"257","X360","Fighting","THQ",2.06,83,"T",FALSE
"258","PS2","Fighting","Namco Bandai Games",2.06,92,"T",FALSE
"259","X360","Racing","Electronic Arts",2.05,72,"E10+",FALSE
"260","PS3","Racing","Electronic Arts",2.05,59,"T",FALSE
"261","PS2","Shooter","Sony Computer Entertainment",2.04,72,"T",FALSE
"262","PS2","Action","Ubisoft",2.04,82,"T",FALSE
"263","PS3","Racing","Electronic Arts",2.04,73,"E10+",FALSE
"264","X360","Misc","Microsoft Game Studios",2.04,86,"T",FALSE
"265","PS2","Sports","Electronic Arts",2.03,86,"E",FALSE
"266","X360","Shooter","Activision",2.03,89,"T",FALSE
"267","PS3","Role-Playing","Namco Bandai Games",2.02,89,"M",FALSE
"268","X360","Misc","Ubisoft",2.02,70,"E10+",FALSE
"269","PS3","Action","Electronic Arts",2.01,64,"T",FALSE
"270","PS3","Action","Electronic Arts",2,88,"M",FALSE
"271","PS3","Sports","Electronic Arts",1.98,80,"T",FALSE
"272","X360","Racing","Microsoft Game Studios",1.96,85,"T",FALSE
"273","X360","Shooter","Ubisoft",1.95,88,"M",FALSE
"274","XB","Action","Take-Two Interactive",1.95,93,"AO",FALSE
"275","PS2","Sports","Electronic Arts",1.95,90,"E",FALSE
"276","PS2","Fighting","Electronic Arts",1.94,80,"T",FALSE
"277","PS3","Racing","Electronic Arts",1.94,87,"E10+",FALSE
"278","PS3","Simulation","Electronic Arts",1.94,78,"T",FALSE
"279","X360","Sports","Electronic Arts",1.94,87,"E",FALSE
"280","PS2","Shooter","Ubisoft",1.94,63,"M",FALSE
"281","X360","Shooter","Take-Two Interactive",1.93,93,"M",FALSE
"282","PS2","Role-Playing","Activision",1.93,79,"T",FALSE
"283","PS2","Shooter","THQ",1.92,88,"M",FALSE
"284","PC","Simulation","Electronic Arts",1.92,80,"T",FALSE
"285","PS2","Racing","THQ",1.92,80,"E",FALSE
"286","PS3","Misc","Activision",1.92,84,"T",FALSE
"287","X360","Racing","Electronic Arts",1.91,83,"E",FALSE
"288","PS3","Role-Playing","Activision",1.91,86,"M",TRUE
"289","PS3","Sports","Electronic Arts",1.88,85,"E",TRUE
"290","PS3","Sports","Electronic Arts",1.87,76,"E",TRUE
"291","PS2","Action","THQ",1.87,78,"T",FALSE
"292","XB","Sports","Electronic Arts",1.86,86,"E",FALSE
